Marca temporal,Ingrese su edad,Ingrese su genero,Que red social usa con mayor frecuencia?,Para que la usa?,Cuanto tiempo le dedica por dia?
31/05/2023 21:07:37,Menos de 20,Masculino,Youtube,Ver creadores de contenido (entretenimiento),Entre 1 hora y 2 horas
31/05/2023 21:07:49,40-50,Femenino,Facebook,Relacionarse con otros,Entre 1 hora y 2 horas
31/05/2023 21:08:22,20-30,Femenino,Instagram,Aprender,Entre 30 y 60 minutos
31/05/2023 21:12:21,30-40,Masculino,Instagram,Ver creadores de contenido (entretenimiento),Entre 1 hora y 2 horas
31/05/2023 21:12:37,Menos de 20,Femenino,Tik Tok,Ver creadores de contenido (entretenimiento),Entre 30 y 60 minutos
31/05/2023 21:13:15,20-30,Masculino,Otra,Relacionarse con otros,Entre 30 y 60 minutos
31/05/2023 21:13:34,40-50,Femenino,Youtube,Promocionar/publicar contenido propio,Entre 1 hora y 2 horas
